wtf25	SPOG_02576	43.617	94	46	2	501	594	1217	1303	4.16e-15	78.2
wtf25	SPOG_03611	51.639	244	96	6	1	238	1	228	7.36e-71	214
wtf25	XP_013022188.1	48.402	219	83	5	1	203	1	205	6.24e-55	173
wtf25	XP_013022189.1	48.402	219	83	5	1	203	1	205	1.92e-54	172
wtf25	SPOG_03603	43.697	238	116	7	1	233	1	225	4.81e-58	182
wtf25	SPOG_03611	40.927	259	118	11	1	255	1	228	1.06e-37	130
wtf25	XP_013022188.1	40.639	219	102	7	1	205	1	205	3.77e-29	107
wtf25	XP_013022189.1	40.639	219	102	7	1	205	1	205	5.00e-29	107
wtf25	SPOG_01079	75.177	705	170	3	1	702	1	703	0.0	1016
wtf25	SPOG_03611	53.409	264	76	10	1	253	1	228	8.10e-73	219
wtf25	XP_013022188.1	56.356	236	69	9	1	226	1	212	1.75e-68	208
wtf25	XP_013022189.1	56.356	236	69	10	1	226	1	212	3.12e-68	208
wtf25	SPOG_00375	84.368	467	73	0	1	467	1	467	0.0	791
wtf25	SPOG_01647	84.310	529	69	3	1	529	1	515	0.0	934
wtf25	SPOG_03517	66.352	529	171	3	1	529	1	522	0.0	758
wtf25	SPOG_03513	69.466	524	158	2	1	524	1	522	0.0	756
wtf25	SPOG_03518	61.079	519	189	4	1	515	1	510	0.0	680
wtf25	SPOG_01228	59.733	524	207	3	2	524	9	529	0.0	658
wtf25	SPOG_03625	51.838	517	242	2	1	512	1	515	0.0	573
wtf25	SPOG_03603	41.532	248	108	11	1	234	1	225	4.36e-45	149
wtf25	XP_013022188.1	43.972	141	66	5	1	139	1	130	5.96e-21	85.9
wtf25	XP_013022189.1	43.972	141	66	5	1	139	1	130	6.98e-21	85.9
